Trade ID,Amount,Emotion,Entry_Delay,Error Tag,Is_Addon,Net R,Remark,Result,Risk,Session,Setup Grade,Status,Strategy,Trade Date,Trade Leave Time,Win,hold mins
🛡️ S2,0.2,,,,,0.02,,16,1000,Asia,,未開始,🛡️ S2-Reversal (逆勢),2026年2月4日 10:24 (GMT+8),2026年2月4日 17:31 (GMT+8),1,7h 07m
🧠FOMO,0.2,,,,,0.02,,17,1000,Asia,,未開始,,2026年2月5日 10:48 (GMT+8),2026年2月5日 10:53 (GMT+8),1,5m
🧠FOMO,0.2,,,💀 FOMO (追高殺低),,-1.54,"S2進場已虧損, 跌破前低, 開2倍空單保護, 但迅速尬空, 報復性交易導致巨額虧損",-1539,1000,London,,未開始,,2026年2月5日 10:51 (GMT+8),2026年2月5日 11:20 (GMT+8),,29m
🧠FOMO,0.2,,,,,0.08,,79,1000,Asia,,未開始,,2026年2月5日 11:12 (GMT+8),2026年2月5日 11:20 (GMT+8),1,8m
🧠FOMO,0.2,,,💀 FOMO (追高殺低),,-1.02,"嚴格遵守進出條件, 損了就損了, 嚴禁鎖利或鎖損",-1020,1000,London,,未開始,,2026年2月5日 11:12 (GMT+8),2026年2月5日 12:00 (GMT+8),,48m
🛡️ S2,0.2,,,未設定止損,,-2.2,需開啟非交易時間止損,-2203,1000,Asia,,未開始,🛡️ S2-Reversal (逆勢),2026年2月5日 9:12 (GMT+8),2026年2月5日 11:41 (GMT+8),,2h 29m
🚀 S1,0.2,,,,,0.02,,10,500,London,,未開始,🚀 S1-Trend (順勢),2026年2月6日 1:30 (GMT+8),2026年2月6日 1:57 (GMT+8),1,27m
🚀 S1,0.2,,,,,0.03,,15,500,Asia,,未開始,🚀 S1-Trend (順勢),2026年2月6日 8:30 (GMT+8),2026年2月6日 9:01 (GMT+8),1,31m
🛡️ S2,0.2,,,,,1.08,,1079,1000,Asia,,未開始,🛡️ S2-Reversal (逆勢),2026年2月6日 9:19 (GMT+8),2026年2月6日 10:03 (GMT+8),1,44m
🚀 S1,0.2,,,,,0.39,,197,500,Asia,,未開始,🚀 S1-Trend (順勢),2026年2月6日 13:37 (GMT+8),2026年2月6日 13:42 (GMT+8),1,5m
🚀 S1,0.2,,,,,1.07,,535,500,London,,未開始,🚀 S1-Trend (順勢),2026年2月9日 22:57 (GMT+8),2026年2月10日 1:04 (GMT+8),1,2h 07m
🚀 S1,0.2,,,,,1.02,,512,500,London,,未開始,🚀 S1-Trend (順勢),2026年2月9日 23:02 (GMT+8),2026年2月10日 0:35 (GMT+8),1,1h 33m
🚀 S1,0.2,,,,,0.06,,30,500,Asia,,未開始,🚀 S1-Trend (順勢),2026年2月10日 12:51 (GMT+8),2026年2月10日 8:43 (GMT+8),1,-5h 0-8m
🚀 S1,0.2,,,,,0.04,,22,500,London,,未開始,🚀 S1-Trend (順勢),2026年2月10日 16:42 (GMT+8),2026年2月10日 21:38 (GMT+8),1,4h 56m
🧠FOMO,0.2,,,💀 FOMO (追高殺低),,-0.98,"有S2保護, S1進場點為已遠離, 10:30開盤前感覺要發動, 在前高醞釀追多, 開盤後大跌受傷",-980,1000,London,,未開始,,2026年2月10日 22:30 (GMT+8),2026年2月10日 22:48 (GMT+8),,18m
🧠FOMO,0.2,,,💀 FOMO (追高殺低),,-1.01,"進場提示點為已遠離, 掛單進場 or 縮小部位, 禁止賭博",-1008,1000,London,,未開始,,2026年2月10日 22:31 (GMT+8),2026年2月10日 22:48 (GMT+8),,17m
🛡️ S2,0.2,,,,,0.34,,340,1000,London,,未開始,🛡️ S2-Reversal (逆勢),2026年2月10日 23:37 (GMT+8),2026年2月11日 8:10 (GMT+8),1,8h 33m
🛡️ S2,0.2,,,,,0.05,,52,1000,London,,未開始,🛡️ S2-Reversal (逆勢),2026年2月5日 13:32 (GMT+8),2026年2月5日 20:11 (GMT+8),1,6h 39m
🛡️ S2,0.2,,,,,0.6,,597,1000,Asia,,未開始,🛡️ S2-Reversal (逆勢),2026年2月10日 13:05 (GMT+8),2026年2月10日 22:41 (GMT+8),1,9h 36m
🛡️ S2,0.2,,,,,0.61,,609,1000,London,,未開始,🛡️ S2-Reversal (逆勢),2026年2月10日 23:30 (GMT+8),2026年2月11日 11:28 (GMT+8),1,11h 58m
🚀 S1,0.2,,,,,0.2,,100,500,Asia,,未開始,🚀 S1-Trend (順勢),2026年2月11日 8:38 (GMT+8),2026年2月11日 11:34 (GMT+8),1,2h 56m
🚀 S1,0.2,,,,,0.4,,202,500,London,,未開始,🚀 S1-Trend (順勢),2026年2月12日 0:59 (GMT+8),2026年2月12日 2:02 (GMT+8),1,1h 03m
🚀 S1,0.2,,,,,0.43,,215,500,London,,未開始,🚀 S1-Trend (順勢),2026年2月12日 0:59 (GMT+8),2026年2月12日 2:02 (GMT+8),1,1h 03m
🚀 S1,0.2,,,,,-1.05,,-525,500,London,,未開始,🚀 S1-Trend (順勢),2026年2月12日 22:06 (GMT+8),2026年2月12日 22:57 (GMT+8),,51m
🚀 S1,0.2,,,,,-1.2,,-602,500,London,,未開始,🚀 S1-Trend (順勢),2026年2月12日 22:32 (GMT+8),2026年2月12日 22:57 (GMT+8),,25m
🛡️ S2,0.2,,,,,-1.45,,-1447,1000,London,,未開始,🛡️ S2-Reversal (逆勢),2026年2月13日 0:11 (GMT+8),2026年2月13日 0:15 (GMT+8),,4m
🛡️ S2,0.2,,,,,0.04,,42,1000,London,,未開始,🛡️ S2-Reversal (逆勢),2026年2月13日 1:09 (GMT+8),2026年2月13日 1:31 (GMT+8),1,22m
🚀 S1,0.2,,,,,0.43,,215,500,Asia,,未開始,🚀 S1-Trend (順勢),2026年2月13日 13:43 (GMT+8),2026年2月13日 16:51 (GMT+8),1,3h 08m
🚀 S1,0.2,,,,,-1.44,,-721,500,London,,未開始,🚀 S1-Trend (順勢),2026年2月13日 23:31 (GMT+8),2026年2月13日 23:59 (GMT+8),,28m
🛡️ S2,0.2,,,,,-0.99,,-993,1000,London,,未開始,🛡️ S2-Reversal (逆勢),2026年2月17日 13:14 (GMT+8),2026年2月17日 13:31 (GMT+8),,17m
🛡️ S2,0.2,,,,,-1.05,,-1047,1000,London,,未開始,🛡️ S2-Reversal (逆勢),2026年2月17日 21:57 (GMT+8),2026年2月17日 22:01 (GMT+8),,4m
🚀 S1,0.2,,,,,-0.16,,-80,500,London,,未開始,🚀 S1-Trend (順勢),2026年2月16日 18:38 (GMT+8),2026年2月16日 20:08 (GMT+8),,1h 30m
🚀 S1,0.2,,,,,-1.98,,-992,500,Asia,,未開始,🚀 S1-Trend (順勢),2026年2月17日 10:59 (GMT+8),2026年2月17日 13:15 (GMT+8),,2h 16m
🚀 S1,0.2,,,,,0.82,,410,500,London,,未開始,🚀 S1-Trend (順勢),2026年2月17日 14:01 (GMT+8),2026年2月17日 18:52 (GMT+8),1,4h 51m
🚀 S1,0.2,,,,,-1.03,,-513,500,London,,未開始,🚀 S1-Trend (順勢),2026年2月17日 20:30 (GMT+8),2026年2月17日 21:15 (GMT+8),,45m
🚀 S1,0.2,,,,,1.42,,710,500,London,,未開始,🚀 S1-Trend (順勢),2026年2月18日 10:01 (GMT+8),2026年2月18日 14:13 (GMT+8),1,4h 12m
🚀 S1,0.2,,,,,1.61,,807,500,London,,未開始,🚀 S1-Trend (順勢),2026年2月18日 21:30 (GMT+8),2026年2月18日 23:38 (GMT+8),1,2h 08m
🚀 S1,0.2,,,,,-1.6,,-801,500,London,,未開始,🚀 S1-Trend (順勢),2026年2月19日 14:46 (GMT+8),2026年2月19日 19:17 (GMT+8),,4h 31m
🚀 S1,0.2,,,,,0.05,,27,500,NY,,未開始,🚀 S1-Trend (順勢),2026年2月19日 23:32 (GMT+8),2026年2月19日 23:37 (GMT+8),1,5m
🚀 S1,0.2,,,,,-1.3,,-650,500,London,,未開始,🚀 S1-Trend (順勢),2026年2月19日 23:38 (GMT+8),2026年2月20日 1:37 (GMT+8),,1h 59m
🚀 S1,0.2,,,,,0.03,,15,500,London,,未開始,🚀 S1-Trend (順勢),2026年2月24日 23:11 (GMT+8),2026年2月25日 0:49 (GMT+8),1,1h 38m
🚀 S1,0.2,,,,,0.01,,6,500,London,,未開始,🚀 S1-Trend (順勢),2026年2月25日 21:36 (GMT+8),2026年2月25日 23:11 (GMT+8),1,1h 35m
🚀 S1,0.2,,,,,0.41,,203,500,London,,未開始,🚀 S1-Trend (順勢),2026年2月26日 23:38 (GMT+8),2026年2月27日 0:43 (GMT+8),1,1h 05m
🛡️ S2,0.2,,,,,-1.06,,-1064,1000,Asia,,未開始,🛡️ S2-Reversal (逆勢),2026年2月24日 9:00 (GMT+8),2026年2月24日 9:16 (GMT+8),,16m
🛡️ S2,0.2,,,,,0.02,,21,1000,London,,未開始,🛡️ S2-Reversal (逆勢),2026年2月24日 23:13 (GMT+8),2026年2月25日 0:33 (GMT+8),1,1h 20m
🛡️ S2,0.2,,,,,0.41,,411,1000,London,,未開始,🛡️ S2-Reversal (逆勢),2026年2月25日 22:37 (GMT+8),2026年2月25日 23:26 (GMT+8),1,49m
🚀 S1,0.2,,,,,1.99,,994,500,NY,,未開始,🚀 S1-Trend (順勢),2026年3月3日 23:32 (GMT+8),2026年3月4日 0:09 (GMT+8),1,37m
🚀 S1,0.2,,,,,0.84,,418,500,Asia,,未開始,🚀 S1-Trend (順勢),2026年3月4日 9:02 (GMT+8),2026年3月4日 10:31 (GMT+8),1,1h 29m
🛡️ S2,0.2,,,,,0.02,,15,1000,NY,,未開始,🛡️ S2-Reversal (逆勢),2026年3月3日 1:03 (GMT+8),2026年3月3日 2:12 (GMT+8),1,1h 09m
🛡️ S2,0.2,,,,,1.22,,1223,1000,NY,,未開始,🛡️ S2-Reversal (逆勢),2026年3月4日 1:02 (GMT+8),2026年3月4日 11:02 (GMT+8),1,10h 00m
🛡️ S2,0.2,,,,,0.9,,903,1000,NY,,未開始,🛡️ S2-Reversal (逆勢),2026年3月6日 0:08 (GMT+8),2026年3月6日 10:07 (GMT+8),1,9h 59m
🛡️ S2,0.2,,,,,1.01,,1014,1000,Asia,,未開始,🛡️ S2-Reversal (逆勢),2026年3月9日 9:35 (GMT+8),2026年3月9日 13:52 (GMT+8),1,4h 17m
🚀 S1,0.2,,,,,0.04,,20,500,NY,,未開始,🚀 S1-Trend (順勢),2026年3月9日 23:31 (GMT+8),2026年3月10日 0:15 (GMT+8),1,44m
🚀 S1,0.2,,,,,1.2,,600,500,NY,,未開始,🚀 S1-Trend (順勢),2026年3月10日 0:30 (GMT+8),2026年3月10日 7:44 (GMT+8),1,7h 14m
🚀 S1,0.2,,,,,0.14,,71,500,Asia,,未開始,🚀 S1-Trend (順勢),2026年3月13日 7:24 (GMT+8),2026年3月13日 13:44 (GMT+8),1,6h 20m
🛡️ S2,0.2,,,,,-0.98,,-978,1000,NY,,未開始,🛡️ S2-Reversal (逆勢),2026年3月13日 1:33 (GMT+8),2026年3月13日 4:30 (GMT+8),,2h 57m
🛡️ S2,0.2,,,,,0.18,,183,1000,Asia,,未開始,🛡️ S2-Reversal (逆勢),2026年3月13日 7:25 (GMT+8),2026年3月13日 13:37 (GMT+8),1,6h 12m
🛡️ S2,0.2,,,,,-0.95,S1帳戶操作,-948,1000,NY,,未開始,🛡️ S2-Reversal (逆勢),2026年3月13日 23:30 (GMT+8),2026年3月14日 0:06 (GMT+8),,36m
🚀 S1,0.2,,,,,0.4,,201,500,London,,未開始,🚀 S1-Trend (順勢),2026年3月16日 18:53 (GMT+8),2026年3月16日 19:51 (GMT+8),1,58m
 📉 S1-FailPattern,0.2,,,,,1,"連跌3天, 20:30 S1觸發, 22:00創當天新高, 反S1進場",501,500,NY,C(試跑策略),未開始,📉 S1-FailPattern,2026年3月16日 20:17 (GMT+8),2026年3月16日 23:39 (GMT+8),1,3h 22m
🛡️ S2,0.2,,,,,0.62,,618,1000,NY,,未開始,🛡️ S2-Reversal (逆勢),2026年3月16日 17:46 (GMT+8),2026年3月16日 19:52 (GMT+8),1,2h 06m
 📉 S1-FailPattern,0.1,,,提早出場,,0.64,"08:30 S1觸發, oanda 多單價格擁擠, 持有輕倉空單, 保盈出掉, 利率決議大跌, 少賺2%",321,500,NY,C(試跑策略),未開始,📉 S1-FailPattern,2026年3月18日 0:01 (GMT+8),2026年3月18日 19:14 (GMT+8),1,19h 13m
🚀 S1,0.2,,,Late Entry,,-1.86,"早上有訊號, 掛單, 但中途知道可能會跌破, 只砍了topstep, 忘了砍群益",-928,500,NY,,未開始,🚀 S1-Trend (順勢),2026年3月20日 21:55 (GMT+8),2026年3月20日 22:18 (GMT+8),,23m
🛡️ S2,0.3,,,S2-Knife Catching (S2 接刀失敗),,-1,"第一個加倉位交易, 虧損金額過大",-1496,1500,London,,未開始,🛡️ S2-Reversal (逆勢),2026年3月19日 17:12 (GMT+8),2026年3月19日 20:01 (GMT+8),,2h 49m
🛡️ S2,0.2,,,,,2.01,,2006,1000,London,,未開始,🛡️ S2-Reversal (逆勢),2026年3月20日 1:52 (GMT+8),2026年3月20日 23:50 (GMT+8),1,21h 58m
🛡️ S2,0.2,,,,,-0.98,"早盤漲, 第一次RSI<30沒進, 第二次RSI>30進場, 還是死, 降手數",-983,1000,Asia,,未開始,🛡️ S2-Reversal (逆勢),2026年3月23日 10:09 (GMT+8),2026年3月23日 10:53 (GMT+8),,44m
 📉 S1-FailPattern,0.2,,,,,1.27,,633,500,London,,未開始,📉 S1-FailPattern,2026年3月23日 19:30 (GMT+8),2026年3月23日 20:10 (GMT+8),1,40m
🚀 S1,0.2,,,,,-2.03,,-1014,500,Asia,,未開始,🚀 S1-Trend (順勢),2026年3月24日 7:31 (GMT+8),2026年3月24日 8:27 (GMT+8),,56m
🛡️ S2,0.2,,,,,-0.98,,-983,1000,Asia,,未開始,🛡️ S2-Reversal (逆勢),2026年3月23日 10:09 (GMT+8),2026年3月23日 10:53 (GMT+8),,44m
🛡️ S2,0.2,,,,,-1.08,,-1081,1000,London,,未開始,🛡️ S2-Reversal (逆勢),2026年3月23日 17:29 (GMT+8),2026年3月23日 17:39 (GMT+8),,10m
 📉 S1-FailPattern,0.2,,,,,0.46,,231,500,London,,未開始,📉 S1-FailPattern,2026年3月24日 15:33 (GMT+8),2026年3月24日 20:52 (GMT+8),1,5h 19m
 📉 S1-FailPattern,0.2,,,,,0.43,,216,500,NY,,未開始,🛡️ S2-Reversal (逆勢),2026年3月25日 0:58 (GMT+8),2026年3月25日 2:30 (GMT+8),1,1h 32m
 📉 S1-Reverse,0.2,,,,,1.21,,604,500,NY,,未開始,📉 S1-FailPattern,2026年3月26日 0:19 (GMT+8),2026年3月26日 8:06 (GMT+8),1,7h 47m
🚀 S1,0.2,,,,,2.5,,1251,500,NY,,未開始,📉 S1-FailPattern,2026年3月26日 22:53 (GMT+8),2026年3月27日 1:00 (GMT+8),1,2h 07m
 📉 S1-FailPattern,0.2,,,,,-1.96,,-981,500,Asia,,未開始,🛡️ S2-Reversal (逆勢),2026年3月27日 10:30 (GMT+8),2026年3月27日 13:38 (GMT+8),,3h 08m
 📉 S1-FailPattern,0.2,,,,,-1.73,"上週大跌500,  收400點, 本周偏空,  亞盤訊號出現逆向做, 意外的強, 未提早止損",-866,500,Asia,,未開始,📉 S1-FailPattern,2026年3月31日 9:19 (GMT+8),2026年3月31日 9:43 (GMT+8),,24m
🚀 S1,0.2,,,,,0.83,,415,500,London,,未開始,🚀 S1-Trend (順勢),2026年3月31日 20:00 (GMT+8),2026年3月31日 22:42 (GMT+8),1,2h 42m
🛡️ S2,0.2,,,,,-0.85,,-846,1000,London,,未開始,🛡️ S2-Reversal (逆勢),2026年4月2日 15:43 (GMT+8),2026年4月2日 19:43 (GMT+8),,4h 00m
🚀 S1,0.2,,,,,1.59,,795,500,London,,未開始,🚀 S1-Trend (順勢),2026年4月2日 22:00 (GMT+8),2026年4月2日 22:50 (GMT+8),1,50m
🚀 S1,0.2,,,,,0.4,,201,500,London,,未開始,🚀 S1-Trend (順勢),2026年4月3日 2:11 (GMT+8),2026年4月3日 3:19 (GMT+8),1,1h 08m
🛡️ S2,0.2,,,,,0.8,,796,1000,Asia,,未開始,🛡️ S2-Reversal (逆勢),2026年4月7日 9:00 (GMT+8),2026年4月7日 17:30 (GMT+8),1,8h 30m
🚀 S1,0.2,,,,,0.8,,398,500,London,,未開始,🚀 S1-Trend (順勢),2026年4月7日 13:03 (GMT+8),2026年4月7日 17:35 (GMT+8),1,4h 32m
 📉 S1-FailPattern,0.2,,,,,1,,501,500,NY,,未開始,📉 S1-FailPattern,2026年4月2日 20:17 (GMT+8),2026年4月2日 23:39 (GMT+8),1,3h 22m
🚀 S1,0.3,,,,,1.23,,922,750,Asia,,未開始,🚀 S1-Trend (順勢),2026年4月9日 13:02 (GMT+8),2026年4月9日 20:03 (GMT+8),1,7h 01m
 📉 S2-FailPattern,0.3,,,,,-0.62,"四小時中軌以上出現槌頭, 高機率失敗, 停損太短, 收跌再進場",-465,750,NY,,未開始,📉S2-FailPattern,2026年4月9日 23:03 (GMT+8),2026年4月9日 23:18 (GMT+8),,15m
🚀 S1,0.3,,,,,0.82,,615,750,London,,未開始,🚀 S1-Trend (順勢),2026年4月10日 14:00 (GMT+8),2026年4月10日 22:42 (GMT+8),1,8h 42m
🚀 S1,0.3,,,,,-5.3,"CPI留倉過星期一, 超額虧損, S1 未實際觸發",-3973,750,NY,,未開始,🚀 S1-Trend (順勢),2026年4月11日 0:54 (GMT+8),2026年4月13日 6:00 (GMT+8),,53h 06m
 📉 S1-FailPattern,0.2,,,,,-1.88,"大跌之後第一個S1, 認為是假突破",-941,500,NY,,未開始,📉 S1-FailPattern,2026年4月14日 0:04 (GMT+8),2026年4月14日 0:45 (GMT+8),,41m
🚀 S1,0.3,,,,,0.83,,619,750,NY,,未開始,🚀 S1-Trend (順勢),2026年4月14日 21:31 (GMT+8),2026年4月14日 22:39 (GMT+8),1,1h 08m
🚀 S1,0.3,,,,,-1.3,,-972,750,NY,,未開始,🚀 S1-Trend (順勢),2026年4月15日 21:31 (GMT+8),2026年4月15日 23:31 (GMT+8),,2h 00m
🚀 S1,0.3,,,,,2.13,,1597,750,London,,未開始,🚀 S1-Trend (順勢),2026年4月17日 17:01 (GMT+8),2026年4月17日 21:06 (GMT+8),1,4h 05m
🚀 S1,0.3,,,,,-1.22,,-912,750,London,,未開始,🚀 S1-Trend (順勢),2026年4月21日 19:48 (GMT+8),2026年4月21日 20:30 (GMT+8),,42m
🛡️ S2,0.2,,,,,1,,1000,1000,Asia,,未開始,🛡️ S2-Reversal (逆勢),2026年4月22日 7:08 (GMT+8),2026年4月22日 16:14 (GMT+8),1,9h 06m
🚀 S1,0.3,,,,,0.57,,426,750,Asia,,未開始,🚀 S1-Trend (順勢),2026年4月22日 8:00 (GMT+8),2026年4月22日 16:14 (GMT+8),1,8h 14m
🛡️ S2,0.2,,,,,-0.99," 亞盤跳空大跌, 一個非常大的垂頭線出現, 且緊接S1出現, 兩個都吃損",-987,1000,Asia,,未開始,🛡️ S2-Reversal (逆勢),2026年4月23日 8:31 (GMT+8),2026年4月23日 10:08 (GMT+8),,1h 37m
🛡️ S2,0.3,,,,,0.57,,854,1500,London,,未開始,🛡️ S2-Reversal (逆勢),2026年4月23日 17:30 (GMT+8),2026年4月23日 21:02 (GMT+8),1,3h 32m
🚀 S1,0.3,,,,,0.24,,183,750,NY,,未開始,🚀 S1-Trend (順勢),2026年4月23日 20:00 (GMT+8),2026年4月23日 21:02 (GMT+8),1,1h 02m
🚀 S1,0.3,,,,,0.41,"第二次回到S1進場點, 盯盤進場",310,750,NY,,未開始,🚀 S1-Trend (順勢),2026年4月24日 0:02 (GMT+8),2026年4月24日 1:01 (GMT+8),1,59m
🚀 S1,0.3,,,,,0.32,"短時間S2, S1都觸發,應該設定保本, 不要保盈200",237,750,London,,未開始,🚀 S1-Trend (順勢),2026年4月24日 16:00 (GMT+8),2026年4月24日 19:17 (GMT+8),1,3h 17m
 📉 S1-FailPattern,0.3,,,,,1.2,,601,500,London,,未開始,📉 S1-FailPattern,2026年4月27日 13:11 (GMT+8),2026年4月27日 21:16 (GMT+8),1,8h 05m
🚀 S1,0.3,,,,,-0.29,,-221,750,Asia,,未開始,🚀 S1-Trend (順勢),2026年4月28日 10:45 (GMT+8),2026年4月28日 13:03 (GMT+8),,2h 18m
🛡️ S2,0.4,,,,,-0.99,,-1976,2000,London,,未開始,🛡️ S2-Reversal (逆勢),2026年4月29日 15:06 (GMT+8),2026年4月29日 21:25 (GMT+8),,6h 19m
🛡️ S2,0.4,,,,,0.34,,687,2000,London,,未開始,🛡️ S2-Reversal (逆勢),2026年4月29日 22:31 (GMT+8),2026年4月30日 0:34 (GMT+8),1,2h 03m
🚀 S1,0.4,,,,,0.59,,713,1200,Asia,,未開始,🚀 S1-Trend (順勢),2026年4月30日 7:28 (GMT+8),2026年4月30日 10:30 (GMT+8),1,3h 02m
